Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Allson,Afternoon,Day-off,Day-off,Early,Day-off,Early,Early,Day-off,Day-off,Early,Day-off,Early,Day-off,Night,Day-off,Afternoon,Day-off,Early,Afternoon,Night,Day-off,Early,Day-off,Early,Night,Afternoon,Day-off,Night,Afternoon,Day-off,Day-off
Amy,Early,Early,Day-off,Early,Day-off,Afternoon,Night,Day-off,Early,Day-off,Afternoon,Day-off,Afternoon,Night,Day-off,Day-off,Early,Early,Afternoon,Early,Early,Afternoon,Afternoon,Early,Afternoon,Day-off,Day-off,Afternoon,Early,Night,Day-off
Betty,Day-off,Night,Day-off,Day-off,Day-off,Day-off,Day-off,Day-off,Afternoon,Afternoon,Afternoon,Afternoon,Day-off,Afternoon,Day-off,Day-off,Day-off,Early,Early,Afternoon,Afternoon,Afternoon,Early,Day-off,Early,Night,Afternoon,Day-off,Afternoon,Early,Early
Cindy,Day-off,Day-off,Early,Afternoon,Early,Early,Afternoon,Day-off,Day-off,Early,Night,Afternoon,Early,Day-off,Early,Early,Day-off,Night,Day-off,Day-off,Day-off,Day-off,Early,Afternoon,Early,Early,Day-off,Day-off,Day-off,Early,Day-off
Ellie,Night,Day-off,Early,Night,Day-off,Night,Day-off,Early,Day-off,Day-off,Day-off,Afternoon,Early,Afternoon,Night,Night,Night,Day-off,Night,Day-off,Night,Afternoon,Day-off,Day-off,Day-off,Early,Day-off,Day-off,Night,Afternoon,Afternoon
Janey,Early,Early,Afternoon,Day-off,Night,Afternoon,Day-off,Early,Afternoon,Early,Day-off,Day-off,Afternoon,Day-off,Afternoon,Day-off,Day-off,Afternoon,Day-off,Early,Afternoon,Night,Afternoon,Night,Day-off,Day-off,Afternoon,Day-off,Day-off,Early,Day-off
Marilyn,Afternoon,Afternoon,Afternoon,Afternoon,Afternoon,Day-off,Day-off,Day-off,Day-off,Day-off,Early,Early,Night,Day-off,Night,Day-off,Afternoon,Day-off,Day-off,Afternoon,Day-off,Early,Afternoon,Night,Day-off,Day-off,Early,Early,Afternoon,Day-off,Night
Robin,Early,Day-off,Night,Afternoon,Afternoon,Night,Day-off,Afternoon,Early,Night,Day-off,Day-off,Day-off,Early,Early,Early,Day-off,Day-off,Day-off,Day-off,Day-off,Day-off,Night,Afternoon,Afternoon,Day-off,Day-off,Early,Early,Day-off,Day-off
Ruby,Day-off,Afternoon,Day-off,Day-off,Afternoon,Day-off,Afternoon,Day-off,Day-off,Afternoon,Early,Day-off,Day-off,Afternoon,Day-off,Afternoon,Afternoon,Afternoon,Day-off,Day-off,Early,Day-off,Day-off,Early,Day-off,Afternoon,Early,Day-off,Night,Afternoon,Early
Tina,Day-off,Night,Day-off,Day-off,Early,Day-off,Early,Afternoon,Day-off,Afternoon,Day-off,Early,Day-off,Early,Afternoon,Afternoon,Early,Day-off,Early,Day-off,Afternoon,Afternoon,Early,Day-off,Early,Early,Day-off,Afternoon,Early,Afternoon,Afternoon
